SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
Saurashtra & Kutch,1962,0,0,0.7,0.7,2.8,24,136.9,103.2,90.3,0.3,12.7,0.2,371.8
Saurashtra & Kutch,1963,0.5,0,1,1.5,0.5,25,83.1,123.6,65.8,45.4,32.5,0.2,379.1
Saurashtra & Kutch,1964,0.2,0,0,0,1.6,105.5,168.4,184.9,78.8,0.1,0,0,539.5
Saurashtra & Kutch,1965,5.5,0,0,0.3,0.2,1.4,285.7,112.1,13.7,0.2,2.1,0,421.3
Saurashtra & Kutch,1966,0.2,0,0,0,0.2,74.7,167.3,6.8,76.5,0.7,0.1,0,326.5
Saurashtra & Kutch,1967,0,0,46.2,0.7,0.2,106.2,467.4,61.2,30.8,0.1,0,25.6,738.6
Saurashtra & Kutch,1968,1.1,1,0.9,0,0.6,11,104.9,165.2,24.2,5.1,0.6,0,314.6
Saurashtra & Kutch,1969,0,0.2,0,0,0,44.2,176.3,35.5,26.9,0.3,6.4,0.2,290
Saurashtra & Kutch,1970,0.1,0.1,0.4,0.2,7.6,70.2,215.7,327.5,196,17.7,0.1,0,835.8
Saurashtra & Kutch,1971,0.3,0,0,0.3,2,147.1,176.8,134.1,52.2,0.9,0,0,513.6
Saurashtra & Kutch,1972,0.1,3.4,0,0,0.3,87,98.8,24.9,7.2,0.4,0,0,222.1
Saurashtra & Kutch,1973,0.8,0.1,0,0,0.5,50.8,177.2,78.6,75.3,7,0,0,390.3
Saurashtra & Kutch,1974,0,0,0,0.2,10.3,16.1,56.4,26.1,45.6,29.6,0,0.4,184.7
Saurashtra & Kutch,1975,0.7,0,0,0,0,101.2,87.5,189.3,200,103.3,0,0,682.1
Saurashtra & Kutch,1976,1,0.1,1,0,0,103.7,237.8,188.2,64.8,2.3,26.6,0,625.5
Saurashtra & Kutch,1977,1,0,0,0,7.7,161,198.2,88.6,98.9,0.9,7.8,0,564.1
Saurashtra & Kutch,1978,0,0.7,0,2.5,0,157.4,104.2,170.3,11.1,9.7,32.1,0.5,488.6
Saurashtra & Kutch,1979,0,3.3,0,0,0.1,143.5,34.7,634,37,12.2,89.7,1,955.4
Saurashtra & Kutch,1980,0.3,0.2,0,0,0,321.8,231.6,58.1,15.1,0.1,0.9,7.8,635.8
Saurashtra & Kutch,1981,0.7,0,0,0,0.7,46,284.5,163.8,89.5,32.8,87,0,705
Saurashtra & Kutch,1982,0.1,0,0,0.3,20.5,5.2,136.7,114.1,16.9,0.7,106.7,0,401.3
Saurashtra & Kutch,1983,0.2,0.1,0,1.3,0.5,210.2,211.8,246.3,67.8,20.3,0,0,758.4
Saurashtra & Kutch,1984,0,0,0,0,0,57.7,116.7,153.2,116.1,0,0,0,443.7
Saurashtra & Kutch,1985,0,0,0,0,5.1,12,103.3,118.6,17.7,42.1,0,0,298.8
Saurashtra & Kutch,1986,0,0,0.2,0,2.2,167.8,30.4,93,4.8,0,0,0.1,298.5
Saurashtra & Kutch,1987,0,0,0.4,0,0.1,31.4,18.4,33.5,2.1,0.1,3.2,3.3,92.7
Saurashtra & Kutch,1988,0,0,0,1.1,0.1,12.7,495.8,110.8,131,0.8,0,0,752.3
Saurashtra & Kutch,1989,1.8,0,0.2,0,0,134.5,256.6,60.6,41.3,3.1,0,0,498.2
Saurashtra & Kutch,1990,0,2.3,0.4,0,5.9,32.9,16.9,259.4,70.1,18.8,0.1,1.1,407.9
Saurashtra & Kutch,1991,0,0,0,0,0,13.3,155.6,44.2,5.4,0,0,0.3,218.7
Saurashtra & Kutch,1992,1.8,0.2,0,0,0.1,45.1,343.2,111.9,88.7,9.5,0.2,0,600.7
Saurashtra & Kutch,1993,1.5,4.8,0,0,0,41.4,140.6,4,70.1,30.5,17.2,2.5,312.7
Saurashtra & Kutch,1994,1,0,0,0,0,99.4,403.1,137.5,231.6,0.2,0,0,872.8
Saurashtra & Kutch,1995,0,0,0.2,0,0,3,259.1,45.4,42.5,23.9,0,0,374.1
Saurashtra & Kutch,1996,0.4,0,0,0.1,0,137.1,162.1,23.9,11.8,39,0,0,374.4
Saurashtra & Kutch,1997,0.8,0,0.6,0.3,3,189.8,137.4,95.7,170.7,1.9,0,0,600.2
Saurashtra & Kutch,1998,0,0,0,0,0,109.1,149.6,94.4,62.1,150,1.6,0,566.9
Saurashtra & Kutch,1999,1.3,10.5,0,0,131.9,60.6,42.3,17.4,23.9,92.9,0,0,380.7
Saurashtra & Kutch,2000,0,0,0,0,2.9,5.4,224.7,46.2,4.5,2.2,0,0.1,286.1
Saurashtra & Kutch,2001,0,0,0,0.2,0.9,172.9,191.1,116.9,20.6,7.6,0,0,510.2
Saurashtra & Kutch,2002,0,0,0,0,0,166.4,8,117.5,15.1,0.2,0.2,0.6,308.1
Saurashtra & Kutch,2003,0,0.4,0,0,0,68.2,402.2,190.7,21.7,3,0,0,686.2
Saurashtra & Kutch,2004,0.2,0,0,0,13.6,95,90,227.7,36.1,19.7,0,0,482.2
